Esas No,Tarih,İl,Milletvekili,Muhatap Bakanlık,Durum,Önerge Özeti
7 / 41001,20.02.2026,Kırklareli,Fahri ÖZKAN,Ticaret Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Vergi veya SGK prim borcu nedeniyle kredi kullanamayan esnaf ve sanatkarlara ilişkin
7 / 16443,10.09.2024,Hakkari,Onur DÜŞÜNMEZ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Diyarbakır'ın Bağlar ilçesinde hayatını kaybeden bir kız çocuğuna ilişkin
7 / 14085,17.07.2024,Diyarbakır,Osman Cengiz ÇANDAR,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Diyarbakır'da yaşanan bir cinsel istismar vakasıyla ilgili yargılama sürecine ilişkin
7 / 12315,14.05.2024,Gaziantep,Sevda KARACA DEMİR,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bazı özel okullarda okula devam etmeyen öğrencilerin kaydının tutulmadığı iddiasına ilişkin
7 / 2003,19.07.2023,Tunceli,Ayten KORDU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Tunceli ilinde olası bir depreme karşı alınan önlemlere ilişkin
7 / 25969,18.03.2025,Muğla,Gizem ÖZCAN,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Muğla'nın Marmaris ilçesinde yapılması planlanan bir turizm tesisine ilişkin
7 / 19737,22.11.2024,İzmir,Yüksel TAŞKIN,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Son bir yılda yükseköğretim kurumlarının personel alım ilanlarına karşı açılan davalara ilişkin
7 / 16737,30.09.2024,İstanbul,Mehmet Satuk Buğra KAVUNCU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Son 5 yılda İstanbul'da çocuklar tarafından işlenen suçlara dair verilere ilişkin
7 / 3206,11.08.2023,Diyarbakır,Serhat EREN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Elazığ 1 Nolu Yüksek Güvenlikli Cezaevinde bazı mahkumların diğer mahkumlara karşı şiddet eylemleri gerçekleştirdiği iddialarına ilişkin
7 / 30995,17.07.2025,Hakkari,Öznur BARTİN,Tarım Ve Orman Bakanlığı,Cevaplandı,Hakkari'ye bağlı Kavaklı köyüne istinat duvarı yapılması talebine ilişkin
7 / 32824,19.08.2025,Tunceli,Ayten KORDU,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Samsun Kavak S Tipi Kapalı Cezaevinde yaşandığı iddia edilen hak ihlallerine ilişkin
7 / 11353,25.04.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ereğli Yüksek Güvenlikli Kapalı Cezaevinde bulunan bir mahkumun iletişim hakkının engellendiği iddiasına ilişkin
7 / 4594,21.09.2023,Tunceli,Ayten KORDU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Tunceli'nin Pülümür ilçesine bağlı bazı köylerin ulaşım ve altyapı sorunlarına ilişkin
7 / 35767,10.10.2025,Ankara,Umut AKDOĞAN,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Hacettepe Üniversitesi Devlet Konservatuvarında görevli bazı öğretim üyelerinin sözleşmelerinin yenilenmeme gerekçesine ilişkin
7 / 2786,28.07.2023,İzmir,Ahmet Tuncay ÖZKAN,Ulaştırma Ve Altyapı Bakanlığı,Cevaplandı,İzmir Limanının yabancı sermayeye satılacağı iddiasına ilişkin
7 / 44475,05.05.2026,İzmir,Rahmi Aşkın TÜRELİ,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,15 Günlük Cevaplanma Süresi Devam Ediyor,İzmir Limanı Modernizasyonu Projesi'nin akıbetine ilişkin
7 / 27520,28.04.2025,İstanbul,Ersin BEYAZ,Ticaret Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Havalimanlarındaki kafe ve restoranların fahiş fiyat uygulamasına ilişkin
7 / 43163,02.04.2026,Erzincan,Mustafa SARIGÜL,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Su kaynaklarının korunmasına ve olası bir su krizine karşı alınan önlemlere ilişkin
7 / 21169,26.12.2024,Aydın,Süleyman BÜLBÜL,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Hasta bir mahkumun kötü muameleye maruz kaldığı iddiasına ilişkin
7 / 38007,18.12.2025,Hakkari,Öznur BARTİN,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,11 Aralık 2025 tarihinde Hakkari'nin Yüksekova ilçesinde gerçekleşen bir trafik kazasına ilişkin
7 / 16276,04.09.2024,İstanbul,İskender BAYHAN,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir işletmede işçilerin sendikal haklarının engellendiği iddiasına ilişkin
7 / 30042,27.06.2025,Uşak,Ali KARAOBA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,2024-2025 yılları arasında kapanan aile sağlık merkezlerine ilişkin
7 / 36185,04.11.2025,Şanlıurfa,Ferit ŞENYAŞAR,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Harran Üniversitesi Araştırma Hastanesinde hasta vatandaşlardan fahiş veya usulsüz ücret istendiği iddialarına ilişkin
7 / 12327,15.05.2024,Kocaeli,Lütfü TÜRKKAN,Milli Savunma Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ülke sınırlarında gerçekleştirilen mayın temizleme faaliyetlerine ilişkin
7 / 12629,30.05.2024,İstanbul,Mehmet Satuk Buğra KAVUNCU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İşitme engelli bireylere yönelik açılan okullara ilişkin
7 / 35356,17.10.2025,Tekirdağ,Selcan TAŞCI,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Geçiş üstünlüğüne sahip araçlara ilişkin
7 / 41259,25.02.2026,Aydın,Süleyman BÜLBÜL,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Aydın'da yaşanan sel felaketinden etkilenen üreticilerin mağduriyetinin giderilmesine ilişkin
7 / 20396,13.12.2024,İzmir,Murat BAKAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Geçici koruma statüsü altındaki Suriyelilerin ülkelerine geri dönüşüyle ilgili yapılan çalışmalara ilişkin
7 / 23542,07.02.2025,Ardahan,Özgür Erdem İNCESU,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ardahan'ın Çıldır ilçesinde bulunan Aktaş Gölü'nün askeri yasak bölge ilan edilmesine ilişkin
7 / 41849,06.03.2026,Adana,Müzeyyen ŞEVKİN,Kültür Ve Turizm Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Adana'nın Karataş ilçesinde açılması planlanan halk plajının akıbetine ilişkin
7 / 36515,12.11.2025,İzmir,Mustafa BİLİCİ,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Van'ın Gürpınar ilçesinde bulunan Şamran Kanalı'na su verilmemesine ilişkin
7 / 18167,15.10.2024,Artvin,Uğur BAYRAKTUTAN,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Vahdettin Köşkünün Hazineye devredilmesine ilişkin
7 / 21086,23.12.2024,İzmir,Rıfat Turuntay NALBANTOĞLU,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,İzmir Büyükşehir Belediyesinin bir projesi için bulduğu dış finansmanla ilgili yaptığı onay başvurusuna ilişkin
7 / 21782,14.01.2025,Burdur,İzzet AKBULUT,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Burdur'da bulunan Aziziye ve Yaylabeli yaylalarının turizme kazandırılması talebine ilişkin
7 / 10697,13.03.2024,Mersin,Gülcan KIŞ,Ticaret Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlıkça yapılan fahiş fiyat denetimlerine ilişkin
7 / 32433,07.08.2025,İstanbul,İskender BAYHAN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Cezaevlerinin fiziki ve insani koşullarına ilişkin
7 / 19635,21.11.2024,İzmir,Mustafa BİLİCİ,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Müzelerin ziyaretçi sayıları ile buralardan elde edilen gelirlere ilişkin
7 / 27658,30.04.2025,Karabük,Cevdet AKAY,Enerji Ve Tabii Kaynaklar Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlık ve bağlı kuruluşları tarafından kiralanan veya satın alınan taşınmazlara ilişkin
7 / 21588,08.01.2025,Diyarbakır,Serhat EREN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Diyarbakır ve çevresindeki illerde yağış azlığı nedeniyle ortaya çıkabilecek sorunlara karşı alınan önlemlere ilişkin
7 / 11941,15.05.2024,Ankara,Kürşad ZORLU,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Süresi Geçtikten Sonra Cevaplandı,Bazı kamu harcamalarının miktarlarına ilişkin
7 / 37559,05.12.2025,İstanbul,Turan Taşkın ÖZER,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Büyükçekmece Adliyesindeki adli emanet bürosundan altın ve gümüş çalınması olayına ilişkin
7 / 20400,13.12.2024,Ankara,Aliye TİMİSİ ERSEVER,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,"Bakanlık ve Bakanlığa bağlı, ilgili ve ilişkili kurum ve kuruluşlar tarafından Ankara'da gerçekleştirilen yatırımlara ilişkin"
7 / 43314,10.04.2026,Diyarbakır,Mustafa Sezgin TANRIKULU,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Silvan Barajı Projesi kapsamında kamulaştırılan taşınmazlara ilişkin
7 / 40485,11.02.2026,Diyarbakır,Serhat EREN,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Malatya ilindeki tütün üreticilerinin desteklenmesine ilişkin
7 / 30433,04.07.2025,Manisa,Şenol SUNAT,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,28 Haziran 2025'te Manisa'nın Akhisar ilçesinde çıkan orman yangınına ilişkin
7 / 2860,04.08.2023,Kars,Gülüstan KILIÇ KOÇYİĞİT,Milli Eğitim Bakanlığı,Cevaplandı,Deprem bölgesinde kadına yönelik şiddetle mücadele edilmesi ve toplumsal cinsiyet odaklı bir afet yönetim planı oluşturulmasına ilişkin
7 / 5405,13.10.2023,Adana,Ayhan BARUT,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Şırnak ilindeki okulların depreme dayanıklılığına ilişkin
7 / 7542,14.12.2023,Ağrı,Sırrı SAKİK,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kocaeli'de bir çocuk işçinin ölümüne ilişkin
7 / 3034,10.08.2023,Sivas,Ulaş KARASU,Ulaştırma Ve Altyapı Bakanlığı,Cevaplandı,Sivas'ın Şarkışla ilçesinde yer alan Cemel kavşağında yaşanan trafik kazalarına ilişkin
7 / 8414,16.01.2024,İzmir,Rıfat Turuntay NALBANTOĞLU,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlık tarafından İzmir'de yürütülen proje ve yatırımlara ilişkin
7 / 31257,10.07.2025,Afyonkarahisar,Hakan Şeref OLGUN,Tarım Ve Orman Bakanlığı,Cevaplandı,Karabük ilinin Merkez ilçesinde şap hastalığı ile mücadeleye ilişkin
7 / 12280,22.05.2024,Kocaeli,Ömer Faruk GERGERLİOĞLU,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir kişinin bankadan aldığı kredinin ödemesinde faiz oranının artırılmasına ilişkin
7 / 33723,08.09.2025,Bursa,Kayıhan PALA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,İstanbul'da bulunan devlet hastanelerinin ameliyathane ve endoskopi ünitelerinin çalışma saatlerine ilişkin
7 / 7587,22.12.2023,Batman,Zeynep ODUNCU KUTEVİ,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Batman'ın bazı ilçelerindeki seçmen kayıtlarına ilişkin
7 / 42736,01.04.2026,Diyarbakır,Mustafa Sezgin TANRIKULU,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Sanayi yatırımlarına ayrılan paya ilişkin
7 / 34130,23.09.2025,Diyarbakır,Osman Cengiz ÇANDAR,Adalet Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Tutuklu ve hükümlü olan gazetecilerin sayısına ilişkin
7 / 33456,14.08.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Ticaret Bakanlığı,Cevaplandı,Bingöl ilinde aşırı sıcaklara karşı alınan önlemlere ilişkin
7 / 29778,25.06.2025,İstanbul,Hasan KARAL,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ülkemizin polen haritası oluşturulması çalışmalarına ilişkin
7 / 44450,08.05.2026,Van,Gülderen VARLİ,İçişleri Bakanlığı,15 Günlük Cevaplanma Süresi Devam Ediyor,Van Gölü'nde su seviyesinde yaşanan düşmeye ve çevre kirliliğine ilişkin
7 / 14553,29.07.2024,Balıkesir,Turhan ÇÖMEZ,Sağlık Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlık tarafından TSK'dan devralınan hastanelere ilişkin
7 / 10131,01.03.2024,Rize,Tahsin OCAKLI,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çay üretimindeki rekolte düşüşünün önlenmesine ilişkin
7 / 39442,21.01.2026,Mersin,Talat DİNÇER,Ticaret Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Mersin'in Toroslar ilçesinde bulunan bir maden şirketinin faaliyetlerine ilişkin
7 / 34021,16.09.2025,Ağrı,Heval BOZDAĞ,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Ağrı ilinde bulunan bir caddede trafik güvenliğinin sağlanması talebine ilişkin
7 / 13091,12.06.2024,İstanbul,Ayşe Sibel YANIKÖMEROĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Annesiyle birlikte cezaevinde kalan çocukların psikolojik ve sosyal yönden korunması için alınan tedbirlere ilişkin
7 / 28443,08.05.2025,Hakkari,Öznur BARTİN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,3 Mayıs 2025 tarihinde Hakkari'nin Yüksekova ilçesinde meydana gelen trafik kazasına ilişkin
7 / 21944,19.12.2024,Afyonkarahisar,Hakan Şeref OLGUN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Afyonkarahisar'ın Sultandağı ilçesinde Bakanlığın yaptığı çalışmalara ilişkin
7 / 34657,02.10.2025,İstanbul,Suat ÖZÇAĞDAŞ,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Adıyaman'da bulunan bir ilkokul için alınan yıkım kararına ilişkin
7 / 42105,12.03.2026,Artvin,Uğur BAYRAKTUTAN,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Son 10 yılda yapılan buğday ve canlı hayvan ithalatına ilişkin
7 / 3605,29.08.2023,Karabük,Cevdet AKAY,Hazine Ve Maliye Bakanlığı,Cevaplandı,Merkez Bankasının 20 Ağustos 2023 tarihli tebliğinin önceden sızdırıldığı iddialarına ilişkin
7 / 36996,19.11.2025,Tunceli,Ayten KORDU,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Hozat Kaymakamlığı tarafından yıkılan bir yapıya ilişkin
7 / 7368,14.12.2023,Diyarbakır,Ceylan AKÇA CUPOLO,Kültür Ve Turizm Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,2023 yılında basın kuruluşlarına uygulanan idari yaptırımlara ilişkin
7 / 40302,09.02.2026,İstanbul,Özgül SAKİ,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,6 Şubat 2023 tarihli depremlerin ardından Hatay'da konteyner kentlerde yaşayan kadınların yaşadığı sorunlara ilişkin
7 / 33511,19.08.2025,İstanbul,Keziban KONUKCU KOK,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,İstanbul'un Ümraniye ilçesine bağlı Topağacı Mahallesi'nin rezerv alan ilan edilmesine ilişkin
7 / 20760,18.12.2024,Sivas,Ulaş KARASU,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,Cumhurbaşkanı'nın bazı vergiler ile harç ve cezalarda indirim yapma yetkisine ilişkin
7 / 807,14.06.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Gaziantep E Tipi Kapalı Cezaevinde bulunan bir mahkumun ailesinin haberi olmadan başka bir cezaevine nakledildiği iddiasına ilişkin
7 / 26002,21.03.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Kocaeli'nin Başiskele ilçesine bağlı Körfez Mahallesi'nde bulunan Domuz Deresi'nin ıslah edilmesi talebine ilişkin
7 / 37709,17.12.2025,Ankara,Koray AYDIN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Trabzon'un Yomra ilçesine bağlı Özdil Mahallesi'nde açılması planlanan bir maden projesine ilişkin
7 / 3718,01.09.2023,Kocaeli,Ömer Faruk GERGERLİOĞLU,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Süresi Geçtikten Sonra Cevaplandı,Kocaeli ilinde kentsel dönüşüm çalışmaları sonucunda ortaya çıkan tozun insan sağlığına etkilerine ilişkin
7 / 4399,05.09.2023,Kars,Gülüstan KILIÇ KOÇYİĞİT,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir cenazenin defnedilmesi ile ilgili çeşitli iddialara ilişkin
7 / 24821,05.03.2025,Muğla,Süreyya ÖNEŞ DERİCİ,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Muğla'nın Seydikemer ilçesinde olası afetlere karşı alınan önlemlere ilişkin
7 / 19934,29.11.2024,Bitlis,Semra ÇAĞLAR GÖKALP,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Bitlis ilinde yaşanabilecek olası depremlere karşı alınan önlemlere ilişkin
7 / 19876,27.11.2024,Edirne,Ediz ÜN,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Aflatoksin ve pestisit tespit edilmesi sebebiyle ülkemize iade edilen tarım ürünlerine ilişkin
7 / 5796,30.10.2023,Ankara,Umut AKDOĞAN,Dışişleri Bakanlığı,Cevaplandı,Erasmus+ kapsamında yurt dışına çıkanlara ilişkin
7 / 14320,17.07.2024,Gaziantep,Sevda KARACA DEMİR,Adalet Bakanlığı,Cevaplandı,Y ve S tipi cezaevlerine ilişkin
7 / 12568,28.05.2024,Diyarbakır,Serhat EREN,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Metris R Tipi Kapalı Cezaevinde bulunan bir mahkumun tahliye edilmesi talebine ilişkin
7 / 41818,06.03.2026,Kırklareli,Fahri ÖZKAN,"Çevre, Şehircilik Ve İklim Değişikliği Bakanlığı",Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Edirne'nin Lüleburgaz ilçesinde kurulması planlanan atık yakma tesisi projesine ilişkin
7 / 40470,11.02.2026,Giresun,Elvan IŞIK GEZMİŞ,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Ülke genelinde tespit edilen HIV/AIDS vakalarına ilişkin
7 / 10038,01.03.2024,Denizli,Yasin ÖZTÜRK,Çalışma Ve Sosyal Güvenlik Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Denizli ilindeki işsizlik ve istihdam verilerine ilişkin
7 / 28995,29.05.2025,Kocaeli,Ömer Faruk GERGERLİOĞLU,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Çankırı Karatekin Üniversitesi ile ilgili bazı iddialara ilişkin
7 / 4070,05.09.2023,Tunceli,Ayten KORDU,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Tunceli ilinin bazı köylerinde yaşanan ulaşım sıkıntılarına ilişkin
7 / 36980,26.11.2025,Bitlis,Semra ÇAĞLAR GÖKALP,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kadına yönelik şiddet ile mücadeleye ilişkin
7 / 26834,09.04.2025,Diyarbakır,Mustafa Sezgin TANRIKULU,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Orman banyosu uygulamasının yaygınlaştırılmasına ilişkin
7 / 33701,08.09.2025,Manisa,Ahmet Vehbi BAKIRLIOĞLU,Hazine Ve Maliye Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Kamuda tasarruf tedbirleri kapsamında Özelleştirme İdaresi Başkanlığı tarafından satışa çıkarılan araçlara ilişkin
7 / 23556,06.02.2025,Denizli,Yasin ÖZTÜRK,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlık tarafından 2023-2024 yılları arasında Isparta iline yapılan yatırımlara ilişkin
7 / 17877,04.10.2024,Bitlis,Hüseyin OLAN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bitlis ilinin Mutki ilçesinin Meydan köyüne İl Özel İdaresi tarafından yapılan hizmetlere ilişkin
7 / 19462,19.11.2024,Bursa,Kayıhan PALA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,İzmir'in Selçuk ilçesinde bir yangında hayatını kaybeden çocuklara ilişkin
7 / 4071,05.09.2023,Mardin,Beritan GÜNEŞ ALTIN,İçişleri Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bir siyasi partinin ilçe kongresi toplantısını bir devlet okulunda yapmasına ilişkin
7 / 21819,07.01.2025,Sivas,Ulaş KARASU,Ulaştırma Ve Altyapı Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,DHMİ'de görev yapan bir bürokratla ilgili iddialara ilişkin
7 / 13598,03.07.2024,İstanbul,İsa Mesih ŞAHİN,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,Kaçak elektrik kullanımıyla ilgili çeşitli verilere ilişkin
7 / 39194,16.01.2026,Amasya,Reşat KARAGÖZ,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Amasya'daki hastanelerin yoğun bakım ünitelerinde yaşanan kapasite sorununa ilişkin
7 / 12808,06.06.2024,Şanlıurfa,Mahmut TANAL,Adalet Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,31 Mart 2024 Mahalli İdareler Seçimlerinde Şanlıurfa ili için basılan ve kullanılmayan oy pusulalarına ilişkin
7 / 9992,21.02.2024,Bursa,Kayıhan PALA,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Şehir hastanelerinin yabancı bir yatırımcıya satılacağı iddiasına ilişkin
7 / 35556,20.10.2025,Kars,İnan Akgün ALP,Sağlık Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Kars'ın Sarıkamış ilçesine bağlı Yeniköy köyünün sağlık ocağı lojmanı tadilatına ilişkin
7 / 27113,22.04.2025,Afyonkarahisar,Hakan Şeref OLGUN,Tarım Ve Orman Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Uşak'ın Eşme ilçesinde yaşanan zirai don afetinden etkilenen çiftçilerin mağduriyetinin giderilmesi talebine ilişkin
7 / 34850,03.10.2025,İstanbul,Özgül SAKİ,Çalışma Ve Sosyal Güvenlik Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,İstanbul'da çalıştığı işyerinde hayatını kaybeden Moldova uyruklu bir kişiye ilişkin
7 / 21643,27.12.2024,Diyarbakır,Adalet KAYA,Milli Eğitim Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Bakanlığın bir vakıfla imzaladığı protokole ilişkin
7 / 36326,07.11.2025,Aydın,Süleyman BÜLBÜL,Gençlik Ve Spor Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Suça sürüklenen çocuklara yönelik yürütülen programlara ilişkin
7 / 44477,06.05.2026,Muğla,Selçuk ÖZDAĞ,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,15 Günlük Cevaplanma Süresi Devam Ediyor,Diyanet İşleri Başkanlığındaki bazı atamalara ilişkin
7 / 18989,31.10.2024,Mardin,Kamuran TANHAN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,30 Ekim 2024 tarihinde Mardin ili Artuklu ilçesinde yaşanan bir olaya ilişkin
7 / 37926,19.12.2025,Burdur,İzzet AKBULUT,Aile Ve Sosyal Hizmetler Bakanlığı,Süresi Geçtikten Sonra Cevaplandı,Burdur'da yıkılan bir rehabilitasyon merkezinin yeniden ne zaman yapılacağına ilişkin
7 / 26451,07.04.2025,İstanbul,Birol AYDIN,İçişleri Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,31 Mart 2020 tarihinden bu yana Türk Polis Teşkilatını Güçlendirme Vakfı tarafından trafikten çekilen araç sayısına ilişkin
7 / 9734,16.02.2024,Erzincan,Mustafa SARIGÜL,Tarım Ve Orman Bakanlığı,Cevaplanmadığı Gelen Kağıtlarda İlan Edildi,Tarımsal üretimin desteklenmesine ilişkin
7 / 9645,14.02.2024,Mersin,Burhanettin KOCAMAZ,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,2023 Yılı Yolsuzluk Algısı Endeksinde ülkemizin sıralamasına ilişkin
7 / 13774,05.07.2024,Tekirdağ,Selcan TAŞCI,İçişleri Bakanlığı,Cevaplandı,Fener Rum Patriği'nin yurt dışında düzenlenen bir konferansa ekümenik sıfatı ile katılmasına ilişkin
7 / 14516,26.07.2024,Şanlıurfa,Dilan KUNT AYAN,Enerji Ve Tabii Kaynaklar Bakanlığı,Cevaplandı,Şanlıurfa'da elektrik akımına kapılarak hayatını kaybeden iki vatandaşa ilişkin
7 / 14822,30.07.2024,Diyarbakır,Sevilay ÇELENK ÖZEN,Adalet Bakanlığı,Cevaplandı,6 Temmuz 2024 tarihinde Batman'ın Gerçüş ilçesinde gözaltına alınan bazı kişilere ilişkin
7 / 1127,03.07.2023,İstanbul,Ersin BEYAZ,Cumhurbaşkanı Yardımcısı Cevdet YILMAZ,Cevaplandı,Kur korumalı mevduat sistemine ilişkin
